Transaction_ID,Desk,Instrument,Counterparty,Trade_Date,Settlement_Date,Face_Value,Trade_Price,Yield,Duration,Mark_to_Market,PnL_Daily,VaR_1Day,Modified_Duration,Convexity,Trade_Type,Portfolio,Trader_ID,Desk_Limit_Used,Regulatory_Flag
TXN001,G-Sec,Government Securities,SBI,2023-01-05,2023-01-07,100000000,98.50,7.25,10.50,3200000,125000,850000,9.82,105.20,Buy,HTM,TR01,45%,SLR Eligible
TXN002,G-Sec,T-Bills,RBI,2023-01-18,2023-01-20,50000000,95.20,6.80,0.75,800000,56000,95000,0.70,0.50,Sell,HFT,TR02,62%,SLR Eligible
TXN003,G-Sec,Government Securities,ICICI Bank,2023-02-08,2023-02-10,200000000,97.75,7.35,8.20,-4500000,-215000,1800000,7.67,63.22,Buy,HTM,TR03,58%,SLR Eligible
TXN004,G-Sec,Government Securities,Axis Bank,2023-02-22,2023-02-24,150000000,96.40,7.50,12.30,5250000,175000,1350000,11.44,134.89,Buy,HTM,TR01,52%,SLR Eligible
TXN005,G-Sec,T-Bills,RBI,2023-03-10,2023-03-13,75000000,94.50,6.95,0.50,1200000,89000,112000,0.47,0.22,Buy,HFT,TR04,71%,SLR Eligible
TXN006,G-Sec,Government Securities,HDFC Bank,2023-04-05,2023-04-07,300000000,99.10,7.10,14.80,8900000,215000,2800000,13.80,179.20,Buy,HTM,TR05,38%,SLR Eligible
TXN007,G-Sec,Government Securities,Kotak,2023-04-18,2023-04-20,80000000,97.25,7.42,9.50,-2100000,-145000,720000,8.85,83.95,Sell,AFS,TR02,67%,SLR Eligible
TXN008,G-Sec,T-Bills,RBI,2023-05-12,2023-05-15,120000000,93.80,7.05,0.92,1850000,135000,216000,0.85,0.72,Buy,HFT,TR06,44%,SLR Eligible
TXN009,G-Sec,Government Securities,SBI,2023-06-07,2023-06-09,250000000,98.90,7.18,11.20,-6800000,-320000,2250000,10.44,116.24,Hold,HTM,TR03,56%,SLR Eligible
TXN010,G-Sec,Government Securities,ICICI Bank,2023-07-14,2023-07-17,180000000,97.60,7.38,7.80,4100000,195000,1620000,7.27,56.66,Buy,AFS,TR01,49%,SLR Eligible
TXN011,G-Sec,T-Bills,RBI,2023-08-03,2023-08-07,60000000,95.50,6.75,0.67,950000,78000,108000,0.63,0.40,Sell,HFT,TR07,83%,FIMMDA Reported
TXN012,G-Sec,Government Securities,Axis Bank,2023-09-19,2023-09-21,400000000,96.80,7.45,13.50,-12000000,-455000,3800000,12.57,161.45,Buy,HTM,TR04,61%,SLR Eligible
TXN013,G-Sec,Government Securities,HDFC Bank,2023-10-05,2023-10-07,120000000,99.25,7.08,6.40,2900000,168000,1080000,5.97,38.84,Hold,AFS,TR08,47%,SLR Eligible
TXN014,G-Sec,T-Bills,RBI,2023-11-15,2023-11-17,90000000,94.20,7.12,0.58,1400000,112000,162000,0.54,0.30,Buy,HFT,TR02,55%,SLR Eligible
TXN015,G-Sec,Government Securities,SBI,2023-12-08,2023-12-11,350000000,97.40,7.55,15.00,-9800000,-412000,3350000,13.95,176.40,Buy,HTM,TR05,40%,SLR Eligible
TXN016,G-Sec,Government Securities,Kotak,2024-01-22,2024-01-24,170000000,98.70,7.20,9.80,4200000,185000,1530000,9.14,89.72,Sell,AFS,TR09,78%,SLR Eligible
TXN017,G-Sec,T-Bills,RBI,2024-03-14,2024-03-18,45000000,95.80,6.65,0.83,720000,65000,81000,0.78,0.62,Buy,HFT,TR06,58%,SLR Eligible
TXN018,G-Sec,Government Securities,ICICI Bank,2024-05-20,2024-05-22,280000000,96.60,7.48,12.80,7500000,290000,2640000,11.92,145.24,Buy,HTM,TR03,64%,SLR Eligible
TXN019,Money Market,T-Bills,RBI,2023-01-12,2023-01-14,50000000,94.80,7.00,0.75,1100000,185000,85000,0.70,0.50,Buy,HFT,TR04,72%,Clean
TXN020,Money Market,CPs,HDFC Bank,2023-01-25,2023-01-27,30000000,97.50,8.00,1.20,-450000,-125000,300000,1.11,1.25,Sell,HFT,TR10,85%,FIMMDA Reported
TXN021,Money Market,CDs,ICICI Bank,2023-02-14,2023-02-16,80000000,98.20,7.85,1.80,1850000,280000,880000,1.66,2.82,Buy,AFS,TR01,63%,Clean
TXN022,Money Market,T-Bills,RBI,2023-03-07,2023-03-09,40000000,95.10,6.90,0.58,-620000,-145000,72000,0.54,0.30,Sell,HFT,TR07,77%,Clean
TXN023,Money Market,CPs,SBI,2023-04-11,2023-04-13,60000000,96.80,8.45,1.50,1200000,320000,660000,1.38,1.93,Buy,HFT,TR02,91%,FIMMDA Reported
TXN024,Money Market,CDs,Axis Bank,2023-05-19,2023-05-22,100000000,97.90,7.95,2.20,-2800000,-380000,1200000,2.03,4.22,Buy,AFS,TR08,52%,Clean
TXN025,Money Market,T-Bills,RBI,2023-06-28,2023-06-30,25000000,94.60,7.15,0.67,450000,98000,40000,0.63,0.40,Buy,HFT,TR05,48%,Clean
TXN026,Money Market,CPs,Kotak,2023-07-19,2023-07-21,45000000,97.20,8.30,1.30,-850000,-195000,495000,1.20,1.46,Sell,HFT,TR03,86%,FIMMDA Reported
TXN027,Money Market,CDs,HDFC Bank,2023-08-24,2023-08-28,120000000,98.50,7.75,2.50,3200000,425000,1440000,2.31,5.42,Buy,AFS,TR06,55%,Clean
TXN028,Money Market,T-Bills,RBI,2023-09-07,2023-09-11,35000000,95.40,6.85,0.92,560000,125000,63000,0.86,0.72,Sell,HFT,TR09,69%,Clean
TXN029,Money Market,CPs,SBI,2023-10-16,2023-10-18,70000000,96.50,8.55,1.80,-1750000,-425000,770000,1.66,2.82,Buy,HFT,TR04,80%,FIMMDA Reported
TXN030,Money Market,CDs,ICICI Bank,2023-11-28,2023-11-30,90000000,98.10,8.10,2.80,2650000,352000,1080000,2.58,7.20,Hold,AFS,TR10,44%,Clean
TXN031,Money Market,T-Bills,RBI,2024-01-08,2024-01-10,55000000,95.70,6.75,0.83,825000,165000,99000,0.78,0.62,Buy,HFT,TR07,61%,Clean
